HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,query,query_id,description,narrative,document_url,document_id,gold_standard,user_feedback,user_rationale,user_relevance,Approve,Reject
3VADEH0UHC51AAA681ZH2W5L017SPC,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 10:35:59 PST 2016,8,BatchId:2256893;,3600,21600,Fri Feb 12 10:35:59 PST 2016,,,352YTHGROWLTIS81PP0WJ4I80JU4H1,A2D3LPWOOP4G7X,Approved,Thu Feb 04 16:32:08 PST 2016,Thu Feb 04 16:33:22 PST 2016,Thu Feb 04 22:33:22 PST 2016,2016-02-05 06:37:37 UTC,,,74,100% (3/3),100% (3/3),100% (3/3),irving berlin,20330,Describe the professional and educational life of Irving Berlin,"What are his achievements, awards, honors?. Where did he receive his musical education? What music is he famous for having written?
Not relevant are documents that only refer to his personal life.
",http://www.jazzstandards.com/Bookstore/Book114.htm,clueweb09-en0009-21-06413,0,{},"This page is for a book written about Irving Berlin, however it offers no information on the man himself aside from being the subject of this book.",1,,
3VADEH0UHC51AAA681ZH2W5L017SPC,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 10:35:59 PST 2016,8,BatchId:2256893;,3600,21600,Fri Feb 12 10:35:59 PST 2016,,,3BC8WZX3V44D8SO2W68351VOF5GRR6,A3W3YX3TPD0ZBO,Approved,Thu Feb 04 10:56:02 PST 2016,Thu Feb 04 11:07:34 PST 2016,Thu Feb 04 17:07:34 PST 2016,2016-02-05 01:07:45 UTC,,,692,100% (36/36),100% (36/36),100% (36/36),irving berlin,20330,Describe the professional and educational life of Irving Berlin,"What are his achievements, awards, honors?. Where did he receive his musical education? What music is he famous for having written?
Not relevant are documents that only refer to his personal life.
",http://www.jazzstandards.com/Bookstore/Book114.htm,clueweb09-en0009-21-06413,0,{},"This personal memoir by the composer/lyricist’s daughter is a personal, up-close look at the man. Barrett describes Irving Berlin’s life and times but does not attempt to examine his compositions.",0,,
3VADEH0UHC51AAA681ZH2W5L017SPC,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 10:35:59 PST 2016,8,BatchId:2256893;,3600,21600,Fri Feb 12 10:35:59 PST 2016,,,3FK0YFF9P0OXU6M0EAIN7V9ULHBVV1,AU48KLNN53BFS,Approved,Thu Feb 04 11:47:30 PST 2016,Thu Feb 04 11:48:14 PST 2016,Thu Feb 04 17:48:14 PST 2016,2016-02-05 01:52:45 UTC,,,44,96% (26/27),100% (23/23),100% (9/9),irving berlin,20330,Describe the professional and educational life of Irving Berlin,"What are his achievements, awards, honors?. Where did he receive his musical education? What music is he famous for having written?
Not relevant are documents that only refer to his personal life.
",http://www.jazzstandards.com/Bookstore/Book114.htm,clueweb09-en0009-21-06413,0,yes enjoy doing this task,Irving Berlin: A Daughter's Memoir,1,,
3VADEH0UHC51AAA681ZH2W5L017SPC,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 10:35:59 PST 2016,8,BatchId:2256893;,3600,21600,Fri Feb 12 10:35:59 PST 2016,,,3GNA64GUZFCOR4B4MK60XAGNR135QJ,A2RPII0OB1PREU,Approved,Thu Feb 04 13:23:45 PST 2016,Thu Feb 04 13:25:50 PST 2016,Thu Feb 04 19:25:50 PST 2016,2016-02-05 03:27:50 UTC,,,125,100% (27/27),100% (27/27),100% (27/27),irving berlin,20330,Describe the professional and educational life of Irving Berlin,"What are his achievements, awards, honors?. Where did he receive his musical education? What music is he famous for having written?
Not relevant are documents that only refer to his personal life.
",http://www.jazzstandards.com/Bookstore/Book114.htm,clueweb09-en0009-21-06413,0,{},"DIrving Berlin: A Daughter's Memoir

Mary Ellin Barrett
Hardcover: 320 pages
Simon & Schuster
November 1, 1994
ISBN: 0671725335	

This personal memoir by the composer/lyricist’s daughter is a personal, up-close look at the man. Barrett describes Irving Berlin’s life and times but does not attempt to examine his compositions.
Mary Ellin Barrett is a journalist, editor and the author of three books of fiction.",1,,
3VADEH0UHC51AAA681ZH2W5L017SPC,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 10:35:59 PST 2016,8,BatchId:2256893;,3600,21600,Fri Feb 12 10:35:59 PST 2016,,,3LOTDFNYA87LDY0F45IFBBPM4WTWFS,A34RRC4E4QMFI2,Approved,Thu Feb 04 12:37:31 PST 2016,Thu Feb 04 12:38:53 PST 2016,Thu Feb 04 18:38:53 PST 2016,2016-02-05 02:42:40 UTC,,,82,100% (9/9),100% (9/9),100% (9/9),irving berlin,20330,Describe the professional and educational life of Irving Berlin,"What are his achievements, awards, honors?. Where did he receive his musical education? What music is he famous for having written?
Not relevant are documents that only refer to his personal life.
",http://www.jazzstandards.com/Bookstore/Book114.htm,clueweb09-en0009-21-06413,0,{},"This personal memoir by the composer/lyricist’s daughter is a personal, up-close look at the man. Barrett describes Irving Berlin’s life and times but does not attempt to examine his compositions.",0,,
3VADEH0UHC51AAA681ZH2W5L017SPC,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 10:35:59 PST 2016,8,BatchId:2256893;,3600,21600,Fri Feb 12 10:35:59 PST 2016,,,3LPW2N6LKUAGJXIL3TQ57BDCUNZ5UG,AK7P0F2TL5WYG,Approved,Thu Feb 04 19:22:23 PST 2016,Thu Feb 04 19:27:01 PST 2016,Fri Feb 05 01:27:01 PST 2016,2016-02-05 09:27:37 UTC,,,278,100% (11/11),100% (11/11),100% (9/9),irving berlin,20330,Describe the professional and educational life of Irving Berlin,"What are his achievements, awards, honors?. Where did he receive his musical education? What music is he famous for having written?
Not relevant are documents that only refer to his personal life.
",http://www.jazzstandards.com/Bookstore/Book114.htm,clueweb09-en0009-21-06413,0,Though it is enjoyable to work on this hit in some cases it may led to rejection if the resultant page altogether gives ome irrelavant information and the same is correctly selected by the worker to make sure it is better to give some clue to make sure that the selection of the category is cent per cent is correct in order to avoid rejection of the work. It is only a suggestion. regards.,"The JazzStandards.com bookstore provides you with a catalog of 200 books associated with the jazz standards. Organized by category, each entry has an editorial comment to aid you in your research and guide you in your recreational reading.

As the heading of search is related to books and the resultant page gives information about the avaliabilitity of books hence it is very relevant.",3,,
3VADEH0UHC51AAA681ZH2W5L017SPC,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 10:35:59 PST 2016,8,BatchId:2256893;,3600,21600,Fri Feb 12 10:35:59 PST 2016,,,3MB8LZR5BG1GIQGU122AID0BEL0LKK,A1HV2V9M87ZTM9,Approved,Thu Feb 04 11:25:36 PST 2016,Thu Feb 04 11:27:30 PST 2016,Thu Feb 04 17:27:30 PST 2016,2016-02-05 01:27:44 UTC,,,114,100% (26/26),100% (26/26),100% (26/26),irving berlin,20330,Describe the professional and educational life of Irving Berlin,"What are his achievements, awards, honors?. Where did he receive his musical education? What music is he famous for having written?
Not relevant are documents that only refer to his personal life.
",http://www.jazzstandards.com/Bookstore/Book114.htm,clueweb09-en0009-21-06413,0,{},"This personal memoir by the composer/lyricist’s daughter is a personal, up-close look at the man. Barrett describes Irving Berlin’s life and times but does not attempt to examine his compositions.",0,,
3VADEH0UHC51AAA681ZH2W5L017SPC,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 10:35:59 PST 2016,8,BatchId:2256893;,3600,21600,Fri Feb 12 10:35:59 PST 2016,,,3NLZY2D53QX2TTEPE7M7EZCKDSQQLH,A1ZGOZQF2VZ0X9,Approved,Thu Feb 04 17:58:54 PST 2016,Thu Feb 04 18:00:17 PST 2016,Fri Feb 05 00:00:17 PST 2016,2016-02-05 08:02:36 UTC,,,83,100% (11/11),100% (11/11),100% (11/11),irving berlin,20330,Describe the professional and educational life of Irving Berlin,"What are his achievements, awards, honors?. Where did he receive his musical education? What music is he famous for having written?
Not relevant are documents that only refer to his personal life.
",http://www.jazzstandards.com/Bookstore/Book114.htm,clueweb09-en0009-21-06413,0,{},"This personal memoir by the composer/lyricist’s daughter is a personal, up-close look at the man. Barrett describes Irving Berlin’s life and times but does not attempt to examine his compositions.",1,,
3YO4AH2FPDSM9DR9ZCVMSVPCA5B0QP,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 10:35:59 PST 2016,8,BatchId:2256893;,3600,21600,Fri Feb 12 10:35:59 PST 2016,,,33SA9F9TRY2T7K0J9UY9TT4MSVBEWP,AU48KLNN53BFS,Approved,Thu Feb 04 11:48:56 PST 2016,Thu Feb 04 11:49:46 PST 2016,Thu Feb 04 17:49:46 PST 2016,2016-02-05 01:52:45 UTC,,,50,96% (26/27),100% (23/23),100% (9/9),irving berlin,20330,Describe the professional and educational life of Irving Berlin,"What are his achievements, awards, honors?. Where did he receive his musical education? What music is he famous for having written?
Not relevant are documents that only refer to his personal life.
",http://www.broadwayworld.com/people/Irving_Berlin/,clueweb09-en0005-21-32157,0,yes enjoy doing this task,Irving Berlin Theatre Credits,1,,
3YO4AH2FPDSM9DR9ZCVMSVPCA5B0QP,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 10:35:59 PST 2016,8,BatchId:2256893;,3600,21600,Fri Feb 12 10:35:59 PST 2016,,,37QW5D2ZRHUJR29JCM284U5FBFPS8X,A2RPII0OB1PREU,Approved,Thu Feb 04 13:30:17 PST 2016,Thu Feb 04 13:39:03 PST 2016,Thu Feb 04 19:39:03 PST 2016,2016-02-05 03:42:46 UTC,,,526,100% (27/27),100% (27/27),100% (27/27),irving berlin,20330,Describe the professional and educational life of Irving Berlin,"What are his achievements, awards, honors?. Where did he receive his musical education? What music is he famous for having written?
Not relevant are documents that only refer to his personal life.
",http://www.broadwayworld.com/people/Irving_Berlin/,clueweb09-en0005-21-32157,0,{},"Irving Berlin Theatre Credits

Stage
Performances

Music Box Revue [1921] [Broadway]
1921
Performer
Performer
Up and Down Broadway [Broadway]
Original Broadway Production, 1910
Entertainer at the Cafe d'Lobster
The Show Girl [Broadway]
Original Broadway Production, 1902
Chorus",3,,
