HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,query,query_id,description,narrative,document_url,document_id,gold_standard,user_feedback,user_rationale,user_relevance,Approve,Reject
34YWR3PJ28I6IASLLQQEM3L578B0XZ,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 16:50:01 PST 2016,8,BatchId:2257444;,3600,21600,Fri Feb 12 16:50:01 PST 2016,,,33UKMF931AS34MEM4KIT5VXORCFTT5,A2DNSD743W4OC2,Approved,Thu Feb 04 20:05:25 PST 2016,Thu Feb 04 20:07:57 PST 2016,Fri Feb 05 02:07:57 PST 2016,2016-02-05 10:12:38 UTC,,,152,100% (39/39),100% (6/6),100% (6/6),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://cork.gumtree.ie/cork/25/32724725.html,clueweb09-en0001-03-10515,0,{},Cars and Vehicles,0,,
34YWR3PJ28I6IASLLQQEM3L578B0XZ,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 16:50:01 PST 2016,8,BatchId:2257444;,3600,21600,Fri Feb 12 16:50:01 PST 2016,,,37UEWGM5HUGPFNPLYCTOZADBB8R1RR,AAC5XT7UY7B2K,Approved,Thu Feb 04 20:05:51 PST 2016,Thu Feb 04 20:11:38 PST 2016,Fri Feb 05 02:11:38 PST 2016,2016-02-05 10:12:38 UTC,,,347,100% (5/5),100% (5/5),100% (5/5),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://cork.gumtree.ie/cork/25/32724725.html,clueweb09-en0001-03-10515,0,{},Pets,1,,
34YWR3PJ28I6IASLLQQEM3L578B0XZ,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 16:50:01 PST 2016,8,BatchId:2257444;,3600,21600,Fri Feb 12 16:50:01 PST 2016,,,3BF51CHDTWICJ4Q06ODU71SVJ7MH06,A1ZGOZQF2VZ0X9,Approved,Thu Feb 04 19:35:14 PST 2016,Thu Feb 04 19:35:54 PST 2016,Fri Feb 05 01:35:54 PST 2016,2016-02-05 09:37:37 UTC,,,40,100% (11/11),100% (11/11),100% (11/11),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://cork.gumtree.ie/cork/25/32724725.html,clueweb09-en0001-03-10515,0,{},"33,822 Live Classified Ads
Gumtree Ireland - Free local classifieds
Cars and Vehicles
cars
car parts & accessories
campervans & caravans
vans, trucks & trailers
motorbikes & scooters
motorbike parts & accessories
boats & water sports
other vehicles",0,,
34YWR3PJ28I6IASLLQQEM3L578B0XZ,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 16:50:01 PST 2016,8,BatchId:2257444;,3600,21600,Fri Feb 12 16:50:01 PST 2016,,,3G5W44VEU8Q0WY2TQB5U5LV3I5EGKB,A3F5ND4OV61TT6,Approved,Thu Feb 04 18:57:15 PST 2016,Thu Feb 04 18:58:27 PST 2016,Fri Feb 05 00:58:27 PST 2016,2016-02-05 09:02:37 UTC,,,72,100% (4/4),100% (4/4),100% (4/4),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://cork.gumtree.ie/cork/25/32724725.html,clueweb09-en0001-03-10515,0,{},"Pets
dogs & puppies",2,,
34YWR3PJ28I6IASLLQQEM3L578B0XZ,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 16:50:01 PST 2016,8,BatchId:2257444;,3600,21600,Fri Feb 12 16:50:01 PST 2016,,,3LPW2N6LKUAGJXIL3TQ57BDCUNT5UA,A3W3YX3TPD0ZBO,Approved,Thu Feb 04 17:01:15 PST 2016,Thu Feb 04 17:02:03 PST 2016,Thu Feb 04 23:02:03 PST 2016,2016-02-05 07:02:37 UTC,,,48,100% (36/36),100% (36/36),100% (36/36),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://cork.gumtree.ie/cork/25/32724725.html,clueweb09-en0001-03-10515,0,{},"ar parts & accessories
campervans & caravans
vans, trucks & trailers
motorbikes & scooters
motorbike parts & accessories
boats & water sports
other vehicles",0,,
34YWR3PJ28I6IASLLQQEM3L578B0XZ,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 16:50:01 PST 2016,8,BatchId:2257444;,3600,21600,Fri Feb 12 16:50:01 PST 2016,,,3M1CVSFP61DLXANLHGXH5LW9JGTQA1,A1F1ZJ080IDPZW,Approved,Thu Feb 04 19:24:45 PST 2016,Thu Feb 04 19:29:45 PST 2016,Fri Feb 05 01:29:45 PST 2016,2016-02-05 09:32:36 UTC,,,300,100% (2/2),100% (2/2),100% (2/2),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://cork.gumtree.ie/cork/25/32724725.html,clueweb09-en0001-03-10515,0,"Yes. At first I thought my site was completely irrelevent, but it got me thinking from different angles.",The URL leads to a classifieds page. There is a section under the Pets heading for dogs and puppies. Many of the threads inside are about adoption but the site is very jumbled and doesn't include the information required above.,1,,
34YWR3PJ28I6IASLLQQEM3L578B0XZ,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 16:50:01 PST 2016,8,BatchId:2257444;,3600,21600,Fri Feb 12 16:50:01 PST 2016,,,3SKEMFQBZ4DL3JWB7DT6D8E5UMXK8V,A2RPII0OB1PREU,Approved,Thu Feb 04 17:34:42 PST 2016,Thu Feb 04 17:37:41 PST 2016,Thu Feb 04 23:37:41 PST 2016,2016-02-05 07:42:37 UTC,,,179,100% (27/27),100% (27/27),100% (27/27),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://cork.gumtree.ie/cork/25/32724725.html,clueweb09-en0001-03-10515,0,{},"The link is not working, I was redirected to the homepage, which cointains free classifieds.",-1,,
34YWR3PJ28I6IASLLQQEM3L578B0XZ,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 16:50:01 PST 2016,8,BatchId:2257444;,3600,21600,Fri Feb 12 16:50:01 PST 2016,,,3WR9XG3T64JWP32PCGEKSRTEMG674A,A1M7DKSUT54LJ9,Approved,Thu Feb 04 19:36:17 PST 2016,Thu Feb 04 19:38:22 PST 2016,Fri Feb 05 01:38:22 PST 2016,2016-02-05 09:42:37 UTC,,,125,100% (2/2),100% (2/2),100% (2/2),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://cork.gumtree.ie/cork/25/32724725.html,clueweb09-en0001-03-10515,0,{},"The text did not help me with my decision.""",1,,
3ZUE82NE0A970D63G0X79BRGM1R8F3,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 16:50:01 PST 2016,8,BatchId:2257444;,3600,21600,Fri Feb 12 16:50:01 PST 2016,,,38BQUHLA9X8JEZJUZ6VIP7W9YW1OMC,A1ZGOZQF2VZ0X9,Approved,Thu Feb 04 19:36:21 PST 2016,Thu Feb 04 19:37:04 PST 2016,Fri Feb 05 01:37:04 PST 2016,2016-02-05 09:37:37 UTC,,,43,100% (11/11),100% (11/11),100% (11/11),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://all-creatures.org/wm/adopt.html,clueweb09-en0000-42-06598,0,{},"Formerly Wings of Mercy Animal Rescue
Spreading Compassion through: 
Rescue, Education, Activism
A 501(c)3 Non-Profit Organization

For Adoption",1,,
3ZUE82NE0A970D63G0X79BRGM1R8F3,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Thu Feb 04 16:50:01 PST 2016,8,BatchId:2257444;,3600,21600,Fri Feb 12 16:50:01 PST 2016,,,3DHE4R9OCXJ5FIY315ZQ5P9915UG2R,A3111O511J64BA,Approved,Thu Feb 04 19:54:50 PST 2016,Thu Feb 04 19:56:24 PST 2016,Fri Feb 05 01:56:24 PST 2016,2016-02-05 09:57:37 UTC,,,94,100% (9/9),100% (9/9),100% (9/9),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://all-creatures.org/wm/adopt.html,clueweb09-en0000-42-06598,0,{},"Formerly Wings of Mercy Animal Rescue Spreading Compassion through: 
Rescue, Education, Activism A 501(c)3 Non-Profit Organization
abuse, adopt, adoption, animal, animals, association, bacon, belly, bellied, boar, cat, cats, chop, chops, companion, dog, dogs, farm, factory, ham, hog, hogs,  mercy, pet, pets, pig, pigs, piggy, piggies, pork, pot, rescue, rescuing, sanctuary, sanctuaries, slaughter,  wings",2,,
